
 Word-based means:
 SFD 163  FFD 164  GD 166  TT 170  PrF 0.59 Pr1 0.58 Pr2 0.01 PrS 0.41 and
 SFD 138  FFD 139  GD 145  TT 161  PrF 0.43 Pr1 0.36 Pr2 0.02 PrS 0.62 the
 SFD 195  FFD 190  GD 229  TT 256  PrF 0.91 Pr1 0.69 Pr2 0.18 PrS 0.13 clothes
 SFD 179  FFD 179  GD 179  TT 190  PrF 0.59 Pr1 0.55 Pr2 0.00 PrS 0.45 he
 SFD 174  FFD 174  GD 179  TT 201  PrF 0.70 Pr1 0.61 Pr2 0.03 PrS 0.36 had
 SFD 191  FFD 186  GD 224  TT 248  PrF 0.88 Pr1 0.72 Pr2 0.14 PrS 0.14 bought
 SFD 190  FFD 189  GD 191  TT 199  PrF 0.66 Pr1 0.63 Pr2 0.01 PrS 0.36 for
 SFD 166  FFD 167  GD 172  TT 174  PrF 0.49 Pr1 0.46 Pr2 0.02 PrS 0.52 the

 First-fixation landing-site distributions:
 0.02 0.13 0.37 0.48  the
 0.13 0.16 0.13 0.28 0.24 0.04  place
 0.13 0.31 0.35 0.21  for
 0.55 0.45  a
 0.25 0.22 0.09 0.18 0.13 0.13  snark
 0.34 0.11 0.32 0.23  the
 0.22 0.17 0.08 0.18 0.19 0.11 0.04 0.01  bellman
 0.05 0.10 0.85  he
 0.24 0.10 0.07 0.15 0.16 0.20 0.07  landed
 0.14 0.20 0.33 0.33  his
 0.13 0.12 0.30 0.25 0.20  crew
 0.07 0.21 0.26 0.32 0.14  with
 0.04 0.23 0.34 0.25 0.14  each
 0.13 0.13 0.29 0.45  man
 0.46 0.17 0.37  on
 0.20 0.29 0.26 0.26  the
 0.24 0.19 0.23 0.34  top
 0.35 0.25 0.40  of
 0.26 0.27 0.24 0.23  the
 0.10 0.90  a
 0.26 0.22 0.11 0.19 0.11 0.07 0.04  finger
 0.14 0.13 0.09 0.17 0.19 0.17 0.06 0.03 0.01  entwined
 0.19 0.36 0.46  in
 0.37 0.49 0.10 0.04  his
 0.05 0.07 0.37 0.51  the
 0.25 0.07 0.19 0.14 0.13 0.22  place
 0.16 0.24 0.37 0.24  for
 0.53 0.47  a
 0.23 0.15 0.14 0.24 0.16 0.09  snark
 0.46 0.54  i
 0.27 0.18 0.17 0.23 0.15  have
 0.13 0.22 0.25 0.20 0.20  said
 0.16 0.52 0.32  it
 0.01 0.04 0.24 0.27 0.33 0.11  alone
 0.04 0.08 0.08 0.29 0.29 0.15 0.09  should
 0.09 0.04 0.04 0.11 0.16 0.24 0.18 0.05 0.03 0.05  encourage
 0.13 0.23 0.41 0.23  the
 0.00 0.14 0.40 0.47  the
 0.18 0.11 0.18 0.15 0.14 0.23  place
 0.21 0.29 0.15 0.35  for
 0.46 0.54  a
 0.28 0.17 0.08 0.23 0.18 0.06  snark
 0.45 0.55  i
 0.29 0.26 0.08 0.23 0.15  have
 0.21 0.07 0.29 0.20 0.23  said
 0.28 0.30 0.43  it
 0.24 0.76  i
 0.40 0.32 0.08 0.11 0.08  tell
 0.13 0.19 0.26 0.42  you
 0.22 0.11 0.20 0.20 0.16 0.12  three
 0.09 0.14 0.15 0.28 0.20 0.14  times
 0.23 0.23 0.54  is
 0.00 0.07 0.29 0.34 0.30  crew
 0.22 0.24 0.28 0.26  was
 0.16 0.15 0.06 0.20 0.17 0.11 0.05 0.02 0.06  complete
 0.24 0.44 0.32  it
 0.18 0.05 0.06 0.17 0.18 0.17 0.12 0.03 0.02  included
 0.38 0.63  a
 0.00 0.00 0.08 0.25 0.44 0.23  maker
 0.26 0.29 0.46  of
 0.15 0.17 0.12 0.17 0.15 0.13 0.11 0.02  bonnets
 0.26 0.19 0.29 0.26  and
 0.00 0.00 0.00 0.04 0.21 0.36 0.25 0.10 0.02 0.01  barrister
 0.08 0.09 0.09 0.21 0.17 0.15 0.12 0.08  brought
 0.33 0.32 0.35  to
 0.22 0.09 0.09 0.20 0.16 0.19 0.05 0.00  arrange
 0.10 0.14 0.20 0.26 0.17 0.13  their
 0.13 0.88  a
 0.32 0.18 0.08 0.15 0.16 0.06 0.04  broker
 0.26 0.42 0.32  to
 0.14 0.13 0.15 0.25 0.20 0.13  value
 0.14 0.15 0.16 0.24 0.21 0.10  their
 0.00 0.00 0.00 0.00 0.04 0.07 0.21 0.28 0.26 0.08 0.06 0.00 0.00 0.00 0.00 0.00  billiard-marker
 0.00 0.13 0.13 0.20 0.33 0.20  whose
 0.10 0.21 0.22 0.17 0.21 0.09  skill
 0.30 0.26 0.28 0.16  was
 0.00 0.02 0.12 0.19 0.36 0.18 0.09 0.04  perhaps
 0.10 0.14 0.30 0.23 0.22  have
 0.17 0.15 0.40 0.28  won
 0.23 0.10 0.14 0.36 0.17  more
 0.18 0.24 0.20 0.20 0.18  than
 0.24 0.25 0.33 0.18  his
 0.12 0.88  a
 0.36 0.17 0.08 0.17 0.08 0.09 0.05  banker
 0.14 0.14 0.11 0.15 0.18 0.17 0.11 0.00  engaged
 0.21 0.29 0.50  at
 0.15 0.13 0.05 0.12 0.22 0.20 0.04 0.04 0.04  enormous
 0.00 0.12 0.33 0.55  the
 0.21 0.10 0.19 0.18 0.18 0.13  whole
 0.23 0.50 0.27  of
 0.24 0.13 0.10 0.23 0.17 0.12  their
 0.17 0.11 0.28 0.20 0.23  cash
 0.27 0.27 0.46  in
 0.29 0.20 0.29 0.22  his
 0.03 0.17 0.39 0.41  was
 0.27 0.20 0.16 0.22 0.16  also
 0.56 0.44  a
 0.30 0.17 0.14 0.10 0.11 0.10 0.09  beaver
 0.09 0.22 0.14 0.38 0.17  that
 0.14 0.06 0.19 0.23 0.23 0.15  paced
 0.16 0.29 0.55  on
 0.36 0.25 0.20 0.20  the
 0.00 0.00 0.09 0.40 0.31 0.19  would
 0.24 0.24 0.34 0.18  sit
 0.25 0.08 0.25 0.14 0.17 0.07 0.04  making
 0.14 0.21 0.14 0.29 0.22  lace
 0.24 0.22 0.53  in
 0.28 0.25 0.32 0.16  the
 0.00 0.10 0.39 0.51  had
 0.23 0.22 0.13 0.16 0.14 0.12  often
 0.17 0.27 0.27 0.29  the
 0.10 0.08 0.10 0.18 0.23 0.16 0.09 0.06  bellman
 0.06 0.13 0.24 0.26 0.32  said
 0.18 0.10 0.18 0.13 0.29 0.13  saved
 0.08 0.10 0.27 0.35 0.19  them
 0.21 0.21 0.22 0.17 0.19  from
 0.02 0.12 0.25 0.35 0.25  none
 0.36 0.28 0.36  of
 0.21 0.30 0.24 0.25  the
 0.15 0.09 0.09 0.12 0.20 0.20 0.11 0.04  sailors
 0.08 0.20 0.32 0.25 0.15  knew
 0.00 0.19 0.37 0.44  was
 0.26 0.26 0.15 0.33  one
 0.26 0.20 0.29 0.26  who
 0.31 0.16 0.31 0.23  was
 0.22 0.14 0.13 0.23 0.20 0.08  famed
 0.12 0.27 0.25 0.36  for
 0.24 0.15 0.33 0.28  the
 0.16 0.10 0.11 0.16 0.16 0.20 0.10  number
 0.17 0.13 0.70  of
 0.00 0.02 0.06 0.22 0.43 0.24 0.03  forgot
 0.11 0.11 0.22 0.35 0.21  when
 0.33 0.33 0.35  he
 0.14 0.14 0.07 0.18 0.23 0.14 0.04 0.05  entered
 0.20 0.27 0.31 0.22  the
 0.00 0.00 0.04 0.13 0.31 0.24 0.19 0.07 0.01  umbrella
 0.07 0.25 0.39 0.30  his
 0.26 0.15 0.15 0.14 0.26 0.05  watch
 0.18 0.27 0.29 0.26  all
 0.23 0.23 0.26 0.29  his
 0.20 0.06 0.18 0.22 0.16 0.13 0.06  jewels
 0.14 0.36 0.24 0.27  and
 0.00 0.13 0.24 0.63  the
 0.17 0.13 0.13 0.13 0.11 0.13 0.15 0.06  clothes
 0.36 0.36 0.27  he
 0.28 0.19 0.23 0.30  had
 0.12 0.08 0.20 0.21 0.22 0.13 0.05  bought
 0.20 0.27 0.31 0.22  for
 0.29 0.25 0.23 0.23  the

 Refixation probability distributions:
 0.00 0.00 0.00 0.00  the
 0.11 0.09 0.00 0.00 0.00 0.00  place
 0.22 0.00 0.00 0.07  for
 0.00 0.00  a
 0.74 0.05 0.25 0.00 0.08 0.08  snark
 0.07 0.00 0.00 0.00  the
 0.45 0.13 0.29 0.06 0.00 0.00 0.00 0.00  bellman
 0.00 0.00 0.00  he
 0.43 0.11 0.00 0.00 0.00 0.11 0.29  landed
 0.11 0.00 0.00 0.05  his
 0.00 0.00 0.00 0.00 0.07  crew
