
 Word-based means:
 0.54 1.00 0.00 0.67 0.14 0.20 0.09 0.30 0.57 1.00 0.00  scrupulous
 0.00 0.03 0.07  to
 0.85 0.50 0.26 0.11 0.13 0.40  every
 0.00 0.05 0.08  it
 0.95 0.50 0.25 0.24 0.07 0.43 1.00  fairly
 0.50 0.29 0.08 0.06 0.33  lost
 0.45 0.38 0.05 0.00 0.25 1.00  heart
 0.08 0.07 0.03 0.18  and
 0.83 0.44 0.60 0.00 0.11 0.15 0.23 0.50 1.00  outgrabe
 0.08 0.00 0.04  in
 0.00 0.07 0.07 0.14  the
 0.88 0.27 0.29 0.09 0.29 0.20  third
 0.29 0.00 0.33 0.33 0.33 0.13 0.11 0.33 0.71 0.00 0.00  repetition
 0.00 0.00 0.05 0.06 0.13  felt
 0.50 0.26 0.00 0.13 0.43  that
 0.20 0.04 0.00  in
 0.56 0.38 0.11 0.05 0.20 0.60  spite
 0.05 0.00 0.00  of
 0.67 0.12 0.00 0.22  all
 0.54 0.20 0.75 0.21 0.17 0.10 0.54 0.80 0.00  possible
 0.00 0.07 0.00 0.00  had
 0.67 0.57 0.50 0.24 0.17 0.14 0.43 1.00  somehow
 0.00 1.00 0.00 0.43 0.24 0.16 0.16 0.67 1.00 0.00  contrived
 0.00 0.06 0.04  to
 0.56 0.21 0.04 0.10 0.00  lose
 0.50 0.04 0.02 0.21  the
 0.38 0.28 0.03 0.03 0.45  only
 0.67 0.29 0.15 0.11 0.17 0.40  thing
 0.25 0.05 0.03 0.22  now
 0.50 0.30 0.00 0.00  was
 0.22 0.03 0.09  to
 0.58 0.38 0.13 0.10 0.33  rack
 0.33 0.00 0.02 0.31  its
 0.31 0.19 0.00 0.09 0.50  poor
 0.00 0.00 1.00 0.22 0.30 0.09 0.25 0.50 1.00 0.00  reckoning
 0.00 0.00 0.03  up
 0.42 0.11 0.08 0.07  the
 0.00 0.50 0.19 0.05 0.17 0.60  added
 0.04 0.00 0.06  to
 0.59 0.50 0.21 0.09 0.20 1.00  oneif
 0.17 0.21 0.07 0.13 0.15  that
 0.20 0.14 0.19 0.04 0.36 0.38  could
 0.40 0.07 0.04 0.10  but
 0.22 0.06 0.04  be
