file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
42,6,,212,8049,,57.26200396825397,57.26200396825397,107.42152777777778,0.7058823529411765,0.4117647058823529,0.29411764705882354,0.29411764705882354,34,253.44763324636605
42,7,,212,9380,,54.4364761904762,54.988476190476185,93.97514285714286,0.78125,0.375,0.40625,0.21875,32,204.69083155650318
41,3,,215,15548,,61.89583333333333,63.00297619047619,173.0279761904762,0.8235294117647058,0.20588235294117646,0.6176470588235294,0.17647058823529413,34,131.20658605608438
41,1,,215,1281,,39.52777777777778,39.52777777777778,76.95370370370371,0.6,0.2,0.4,0.4,5,234.192037470726
41,2,,215,11884,,53.61466842336408,56.69437856829161,120.12335466465902,0.92,0.16,0.76,0.08,25,126.22012790306295
41,4,,215,10487,,47.82099206349206,47.82099206349206,148.60551587301592,0.6896551724137931,0.1724137931034483,0.5172413793103449,0.3103448275862069,29,165.91971011728808
41,5,,215,9726,,51.44333333333334,51.44333333333334,107.74866666666665,0.7352941176470589,0.3235294117647059,0.4117647058823529,0.2647058823529412,34,209.7470697100555
41,6,,215,9118,,51.41869047619048,51.41869047619048,93.97817460317461,0.7407407407407407,0.2222222222222222,0.5185185185185185,0.25925925925925924,27,177.67054178547926
41,7,,215,7547,,34.348430735930734,34.348430735930734,62.474567099567096,0.7857142857142857,0.32142857142857145,0.4642857142857143,0.21428571428571427,28,222.60500861269378
42,2,,215,15903,,71.09673721340388,71.09673721340388,170.30815696649032,0.84375,0.1875,0.65625,0.15625,32,120.73193737030748
42,3,,215,16679,,51.47642357642358,51.47642357642358,178.0155844155844,0.7333333333333333,0.1,0.6333333333333333,0.26666666666666666,30,107.92013909706819
42,4,,215,6555,,63.6631746031746,64.23117460317461,80.6759365079365,0.78125,0.53125,0.25,0.21875,32,292.90617848970254
42,5,,215,11527,,59.954029304029305,60.37710622710623,116.67197802197802,0.8125,0.34375,0.46875,0.1875,32,166.56545501865187
42,6,,215,6552,,56.09254658385093,56.09254658385093,82.51128364389233,0.6764705882352942,0.4117647058823529,0.2647058823529412,0.3235294117647059,34,311.35531135531136
42,7,,215,7546,,44.542960662525886,47.68643892339544,70.59120082815734,0.71875,0.4375,0.28125,0.28125,32,254.43943811290748
41,3,,216,9435,,54.63924162257496,56.50343915343915,111.99171075837742,0.7941176470588235,0.3235294117647059,0.47058823529411764,0.20588235294117646,34,216.2162162162162
41,2,,216,7865,,48.833976410063364,53.73252713470104,81.45870820001255,0.92,0.36,0.56,0.08,25,190.71837253655437
41,1,,216,1969,,171.56944444444446,171.56944444444446,193.75,0.8,0.4,0.4,0.2,5,152.36160487557135
41,4,,216,6953,,53.11445824706693,54.74489302967563,87.49416839199448,0.7931034482758621,0.3448275862068966,0.4482758620689655,0.20689655172413793,29,250.251689918021
41,5,,216,10263,,78.23074712643678,78.99626436781608,124.86494252873564,0.8529411764705882,0.35294117647058826,0.5,0.14705882352941177,34,198.77228880444315
41,6,,216,11452,,55.01776620370371,56.72089120370371,111.30386078042328,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.1111111111111111,27,141.46000698567934
41,7,,216,12150,,44.82408008658009,44.82408008658009,105.06531385281386,0.7857142857142857,0.21428571428571427,0.5714285714285714,0.21428571428571427,28,138.2716049382716
42,3,,216,8857,,45.623092849179805,48.85860009555662,88.1530259595477,0.7666666666666667,0.26666666666666666,0.5,0.23333333333333334,30,203.22908434007002
42,2,,216,8981,,70.36949404761906,70.36949404761906,110.73085317460318,0.75,0.375,0.375,0.25,32,213.78465649704933
42,1,,216,1796,,39.862811791383216,42.612811791383216,54.117913832199555,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.36363636363636365,11,367.48329621380844
42,4,,216,13840,,55.90223398001176,57.51951793062904,144.6165490887713,0.84375,0.25,0.59375,0.15625,32,138.72832369942196
42,5,,216,8528,,56.15821995464853,57.928061224489795,94.75765306122449,0.65625,0.3125,0.34375,0.34375,32,225.14071294559096
42,6,,216,8243,,56.73382936507937,58.31369047619048,96.25674603174603,0.7058823529411765,0.38235294117647056,0.3235294117647059,0.29411764705882354,34,247.48271260463423
42,7,,216,5515,,49.99789915966386,52.153781512605036,86.08123249299719,0.53125,0.15625,0.375,0.46875,32,348.1414324569356
41,2,,217,13920,,49.9615973398582,50.68333647029299,145.18240793023406,0.92,0.08,0.84,0.08,25,107.75862068965517
41,1,,217,987,,55.05555555555555,55.05555555555555,71.4513888888889,0.8,0.4,0.4,0.2,5,303.95136778115506
41,3,,217,14500,,60.719753086419765,62.76172839506172,162.22777777777776,0.7941176470588235,0.14705882352941177,0.6470588235294118,0.20588235294117646,34,140.68965517241378
41,4,,217,6348,,65.7344537815126,66.98935574229692,107.19229691876751,0.5862068965517241,0.20689655172413793,0.3793103448275862,0.41379310344827586,29,274.10207939508507
41,5,,217,4296,,83.63214285714287,83.63214285714287,198.07738095238093,0.20588235294117646,0.058823529411764705,0.14705882352941177,0.7941176470588235,34,474.8603351955307
41,6,,217,4429,,58.96071428571428,58.96071428571428,68.69107142857142,0.5185185185185185,0.37037037037037035,0.14814814814814814,0.48148148148148145,27,365.7710544140889
41,7,,217,7642,,52.58494897959184,53.29923469387756,89.10663265306123,0.5,0.17857142857142858,0.32142857142857145,0.5,28,219.83773881182935
42,2,,217,10063,,50.88425324675325,50.88425324675325,105.01742424242424,0.6875,0.28125,0.40625,0.3125,32,190.7979727715393
