,file,line,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
36678,61,2,,180,3738,,53.48611111111111,53.48611111111111,155.29166666666666,1.5,0.25,1.25,-0.5,0,0
36679,61,3,,180,3858,,83.83333333333333,83.83333333333333,281.8333333333333,1.5,0.25,1.25,-0.5,0,0
36680,61,5,,180,995,,44.25,44.25,95.65,0.5,0.25,0.25,0.5,0,0
36681,61,6,,180,1967,,61.89814814814815,61.89814814814815,123.13703703703703,1.5,0.5,1.0,-0.5,0,0
36682,61,7,,180,1400,,64.77777777777779,64.77777777777779,140.94444444444443,0.75,0.0,0.75,0.25,0,0
36683,61,8,,180,1611,,56.00555555555555,56.00555555555555,71.32777777777778,1.5,1.0,0.5,-0.5,0,0
36684,61,10,,180,2898,,40.331972789115646,40.331972789115646,93.64659863945579,1.75,0.5,1.25,-0.75,0,0
36685,61,11,,180,1760,,55.48333333333333,55.48333333333333,74.28611111111111,1.5,0.75,0.75,-0.5,0,0
36686,61,12,,180,1829,,57.18333333333334,57.18333333333334,129.87916666666666,1.0,0.0,1.0,0.0,0,0
36687,61,14,,180,3158,,83.73958333333333,83.73958333333333,159.86458333333334,2.0,1.0,1.0,-1.0,0,0
36688,61,16,,180,3086,,67.75833333333335,67.75833333333335,106.15,2.5,1.25,1.25,-1.5,0,0
36689,61,15,,180,3417,,56.40625,56.40625,122.49553571428572,2.0,0.5,1.5,-1.0,0,0
36690,61,17,,180,421,91.625,91.625,91.625,91.625,0.5,0.5,0.0,0.5,0,0
36691,61,18,,180,2234,,65.0,65.0,89.875,1.75,1.0,0.75,-0.75,0,0
36692,61,19,,180,1897,,56.074999999999996,56.074999999999996,94.575,1.5,1.0,0.5,-0.5,0,0
36693,61,20,,180,2668,,76.85576923076923,76.85576923076923,202.0168269230769,1.0,0.0,1.0,0.0,0,0
36694,61,21,,180,1514,,50.8625,50.8625,80.99166666666667,1.0,0.25,0.75,0.0,0,0
36695,61,22,,180,3379,,50.224603174603175,50.224603174603175,115.28888888888888,1.5,0.0,1.5,-0.5,0,0
36696,61,23,,180,2155,,93.87878787878788,93.87878787878788,143.72727272727275,1.5,0.75,0.75,-0.5,0,0
36697,61,24,,180,3970,,63.97592592592592,63.97592592592592,126.24444444444445,2.25,1.0,1.25,-1.25,0,0
36698,61,25,,180,2221,,95.47222222222223,95.47222222222223,148.86111111111111,1.5,0.75,0.75,-0.5,0,0
36699,61,4,,180,1112,,33.23518518518518,33.23518518518518,59.035185185185185,0.75,0.25,0.5,0.25,0,0
36700,62,2,,180,2650,,39.88253968253969,39.88253968253969,82.49523809523808,1.25,0.25,1.0,-0.25,0,0
36701,62,1,,180,1453,,76.20238095238095,76.20238095238095,206.44047619047618,0.75,0.0,0.75,0.25,0,0
36702,62,3,,180,2605,,75.24666666666667,75.24666666666667,134.92000000000002,1.25,0.25,1.0,-0.25,0,0
36703,62,4,,180,2723,,56.83253968253968,56.83253968253968,113.00714285714285,1.75,0.5,1.25,-0.75,0,0
36704,62,5,,180,1037,,37.32222222222222,37.32222222222222,62.22222222222222,0.75,0.25,0.5,0.25,0,0
36705,62,6,,180,3529,,58.01679894179895,58.01679894179895,92.26283068783069,2.25,1.0,1.25,-1.25,0,0
36706,62,7,,180,2135,,42.580952380952375,42.580952380952375,73.93809523809524,1.5,0.75,0.75,-0.5,0,0
36707,62,8,,180,1387,,39.55555555555555,39.55555555555555,84.4861111111111,0.75,0.0,0.75,0.25,0,0
36708,62,10,,180,3527,,59.97291666666666,59.97291666666666,123.11875,2.0,0.75,1.25,-1.0,0,0
36709,62,11,,180,2036,,36.519999999999996,36.519999999999996,77.32285714285715,1.25,0.5,0.75,-0.25,0,0
36710,62,12,,180,3310,,58.67857142857142,58.67857142857142,115.42857142857143,1.75,0.75,1.0,-0.75,0,0
36711,62,14,,180,3509,,36.26111111111111,36.26111111111111,115.3925925925926,1.5,0.0,1.5,-0.5,0,0
36712,62,15,,180,1717,,30.185185185185187,30.185185185185187,91.46296296296298,0.75,0.0,0.75,0.25,0,0
36713,62,16,,180,1561,,60.67999999999999,60.67999999999999,103.78,1.25,0.5,0.75,-0.25,0,0
36714,62,17,,180,1385,,53.1,53.1,76.26666666666667,1.25,0.75,0.5,-0.25,0,0
36715,62,18,,180,1392,,52.15419913419913,52.15419913419913,83.73991341991342,1.25,0.75,0.5,-0.25,0,0
36716,62,19,,180,1224,,80.95454545454545,80.95454545454545,125.76818181818182,1.0,0.25,0.75,0.0,0,0
36717,62,20,,180,2775,,37.96111111111111,37.96111111111111,76.76666666666668,1.25,0.25,1.0,-0.25,0,0
36718,62,21,,180,1230,,60.33333333333333,60.33333333333333,85.01041666666666,1.0,0.5,0.5,0.0,0,0
36719,62,22,,180,1546,,45.63492063492063,45.63492063492063,62.07936507936508,1.5,1.25,0.25,-0.5,0,0
36720,62,23,,180,1253,,64.89583333333333,64.89583333333333,92.0,1.0,0.25,0.75,0.0,0,0
36721,62,24,,180,1633,,58.80142857142857,58.80142857142857,108.75857142857144,1.25,0.25,1.0,-0.25,0,0
36722,62,25,,180,2361,,41.96173469387755,41.96173469387755,69.26666666666667,1.75,0.75,1.0,-0.75,0,0
36723,62,9,,180,539,61.63888888888889,61.63888888888889,61.63888888888889,61.63888888888889,0.75,0.75,0.0,0.25,0,0
36724,62,13,,180,252,31.5,31.5,31.5,31.5,0.25,0.25,0.0,0.75,0,0
36725,61,1,,181,1722,,44.65079365079365,44.65079365079365,110.93650793650794,0.75,0.25,0.5,0.25,0,0
