file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
32,2,,012,9448,,48.75859213250518,48.75859213250518,88.76894409937888,0.696969696969697,0.2727272727272727,0.42424242424242425,0.30303030303030304,33,209.56816257408977
32,3,,012,7820,,54.530430242272345,54.530430242272345,99.63815789473684,0.6129032258064516,0.3225806451612903,0.2903225806451613,0.3870967741935484,31,237.85166240409208
32,4,,012,7426,,45.06930158730158,45.06930158730158,72.52863492063493,0.7142857142857143,0.4,0.3142857142857143,0.2857142857142857,35,282.79019660651767
32,5,,012,8293,,57.016977225672875,57.016977225672875,93.26915113871635,0.6764705882352942,0.38235294117647056,0.29411764705882354,0.3235294117647059,34,245.99059447726998
32,6,,012,4835,,44.45181405895692,44.45181405895692,59.540702947845794,0.5833333333333334,0.3888888888888889,0.19444444444444445,0.4166666666666667,36,446.74250258531544
32,7,,012,6756,,79.57777777777778,79.57777777777778,139.78333333333333,0.45454545454545453,0.24242424242424243,0.21212121212121213,0.5454545454545454,33,293.0728241563055
31,4,,016,11945,,61.634359605911335,61.634359605911335,108.4025041050903,0.90625,0.46875,0.4375,0.09375,32,160.7367099204688
31,1,,016,1070,,64.95138888888889,64.95138888888889,119.45138888888889,0.8,0.6,0.2,0.2,5,280.3738317757009
31,2,,016,12202,,49.805142857142854,49.805142857142854,115.80357142857143,0.8620689655172413,0.1724137931034483,0.6896551724137931,0.13793103448275862,29,142.59957384035405
31,3,,016,11688,,56.11309523809524,56.11309523809524,90.58052995391704,0.9117647058823529,0.4117647058823529,0.5,0.08823529411764706,34,174.53798767967146
31,5,,016,10599,,51.25,51.25,91.34125514403293,0.7941176470588235,0.35294117647058826,0.4411764705882353,0.20588235294117646,34,192.4709878290405
31,6,,016,6207,,53.20714285714284,53.20714285714284,71.41173469387755,0.7241379310344828,0.4827586206896552,0.2413793103448276,0.27586206896551724,29,280.32866118898016
